,per_student_2006,percent_of_all_expenditures_2006,total_expenditure_2006
M015,211,0.011000000000000001,59419
M019,232,0.013000000000000001,93136
M020,308,0.02,256892
M034,176,0.011000000000000001,77000
M056,603,0.021,104365
M063,501,0.025,120144
M064,305,0.016,101386
M110,295,0.021,175682
M134,257,0.015,104986
M137,288,0.013999999999999999,113448
M140,454,0.027000000000000003,227982
M142,261,0.013000000000000001,137815
M184,185,0.015,83593
M188,535,0.027999999999999997,236084
M292,356,0.025,104623
M301,670,0.040999999999999995,64307
M315,210,0.012,37815
M332,426,0.027999999999999997,68618
0,,,
M361,261,0.016,71953
M363,315,0.02,87354
M364,317,0.023,97028
0,,,
M448,357,0.026000000000000002,170820
M450,285,0.019,142608
0,,,
M509,563,0.03,314371
M515,593,0.035,326340
M539,322,0.025,243193
M650,721,0.047,153518
M696,380,0.028999999999999998,195138
M839,210,0.013000000000000001,46469
M001,152,0.01,93156
M002,432,0.03,309738
M003,117,0.009000000000000001,65722
M006,99,0.008,83157
M011,166,0.011000000000000001,86748
M033,283,0.015,86588
M040,83,0.006,44474
M041,73,0.005,51243
M042,225,0.015,159628
M047,553,0.016,91850
M051,145,0.009000000000000001,46490
M059,73,0.006,28968
M077,241,0.019,85466
M089,144,0.009000000000000001,65267
M104,158,0.013999999999999999,180464
M111,228,0.015,134921
M114,97,0.009000000000000001,33545
M116,130,0.011000000000000001,96280
M124,127,0.01,130295
M126,116,0.006999999999999999,76840
M130,177,0.013999999999999999,190932
M131,135,0.009000000000000001,117859
M150,81,0.005,13829
0,,,
M158,155,0.012,109783
M167,67,0.006,89601
M183,84,0.006,47107
M198,114,0.008,59679
M212,150,0.011000000000000001,53644
M217,148,0.009000000000000001,69016
M225,537,0.033,138008
M234,109,0.009000000000000001,75462
M255,119,0.01,39646
M260,145,0.011000000000000001,34138
0,,,
0,,,
M288,589,0.04,120074
M289,140,0.011000000000000001,41652
M290,95,0.008,66123
M294,350,0.026000000000000002,64086
M296,81,0.006,17345
M298,771,0.063,160285
M300,192,0.015,39884
M303,853,0.051,97218
M305,692,0.045,56763
M308,372,0.023,30881
M312,149,0.013000000000000001,86267
M313,465,0.031,38568
M316,233,0.016,24880
M347,1935,0.047,373423
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
M400,112,0.009000000000000001,165193
M407,180,0.017,75677
M408,98,0.006999999999999999,41057
M411,113,0.01,46261
M412,176,0.013999999999999999,75298
M413,169,0.013999999999999999,113657
M414,117,0.01,45449
M416,679,0.049,317743
M418,124,0.008,56864
M419,146,0.01,62854
M420,142,0.012,210018
0,,,
M425,279,0.021,190596
0,,,
M429,195,0.012,97009
0,,,
0,,,
0,,,
M439,175,0.011000000000000001,63183
M440,126,0.01,254352
M442,101,0.008,15728
M445,173,0.006999999999999999,50102
M449,515,0.03,188561
M459,384,0.025,126357
M460,89,0.008,250411
M475,45,0.004,135351
M489,75,0.005,57323
M500,391,0.022000000000000002,79446
0,,,
M519,340,0.027000000000000003,150203
M520,117,0.009000000000000001,339072
M529,169,0.013000000000000001,118488
M531,531,0.025,95663
M535,339,0.015,143208
M542,1203,0.075,382414
M543,148,0.01,41631
M544,628,0.035,282640
M545,906,0.051,197581
M550,377,0.021,184011
0,,,
M560,308,0.019,219915
M565,137,0.006,16859
M570,299,0.022000000000000002,279998
M575,404,0.031,340871
M580,115,0.008,81624
M586,170,0.005,10850
M600,135,0.01,224539
M605,306,0.019,51632
M615,198,0.013999999999999999,205464
M620,132,0.009000000000000001,322570
M625,215,0.016,420453
M630,106,0.008,148367
M655,701,0.052000000000000005,489898
M690,118,0.006999999999999999,35594
M896,150,0.012,28991
M009,368,0.025,159187
M044,251,0.013999999999999999,123895
M054,131,0.01,131701
M075,125,0.01,105852
M076,208,0.012,94853
M084,152,0.01,79602
M087,118,0.01,105081
M145,99,0.005,58710
M149,409,0.021,208237
M163,198,0.012,124230
M165,144,0.009000000000000001,89147
M166,126,0.009000000000000001,71884
M180,272,0.015,125488
M185,160,0.009000000000000001,55866
M191,260,0.015,128317
M199,171,0.011000000000000001,117699
M208,117,0.006999999999999999,33305
M241,249,0.015,119739
M242,153,0.009000000000000001,39666
M243,84,0.006,16234
M244,71,0.005,11718
M245,124,0.011000000000000001,36453
M246,147,0.01,30378
M247,446,0.032,77091
M250,196,0.013999999999999999,39286
M256,201,0.012,38438
M258,425,0.026000000000000002,97421
M283,206,0.015,40529
M299,370,0.022000000000000002,40650
M307,211,0.016,45489
M333,141,0.009000000000000001,83192
M334,250,0.023,126600
0,,,
0,,,
0,,,
M415,315,0.019,277197
0,,,
0,,,
0,,,
M470,93,0.006999999999999999,256062
M479,146,0.012,152131
M485,112,0.009000000000000001,275559
M492,288,0.015,150242
M494,165,0.011000000000000001,104349
M505,795,0.042,451823
M541,305,0.018000000000000002,97670
0,,,
M860,199,0.016,77508
M862,276,0.025,90590
M007,241,0.015,111649
M012,255,0.022000000000000002,112342
M013,241,0.013000000000000001,86803
M037,196,0.012,35835
M038,177,0.011000000000000001,83754
M045,326,0.019,201339
M050,240,0.013000000000000001,123731
M057,372,0.025,269764
M072,348,0.023,241967
M083,101,0.009000000000000001,46421
M096,148,0.01,96614
0,,,
M101,363,0.02,209343
M102,251,0.011000000000000001,84728
M108,78,0.006,54636
M112,413,0.017,159959
M117,488,0.026000000000000002,235845
M146,313,0.015,188650
M155,128,0.006999999999999999,61469
M171,189,0.013000000000000001,100348
M182,113,0.01,55032
M206,172,0.01,70648
M224,135,0.011000000000000001,33796
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
M409,119,0.006999999999999999,49849
M435,107,0.009000000000000001,169402
M495,147,0.009000000000000001,50735
M497,202,0.013000000000000001,38204
M555,219,0.013999999999999999,71766
M610,97,0.006999999999999999,38562
M635,363,0.026000000000000002,235996
M680,324,0.021,98640
M695,84,0.006,26944
M825,458,0.035,203131
M964,240,0.013999999999999999,52394
M030,499,0.018000000000000002,215692
M036,105,0.006,59337
M046,67,0.005,59691
M092,191,0.008,80154
M123,79,0.005,51606
M125,104,0.005,48626
M129,182,0.011000000000000001,93821
M133,136,0.006999999999999999,54009
M154,205,0.01,98059
M161,460,0.027999999999999997,429882
M172,348,0.02,222216
M175,115,0.006999999999999999,43843
M194,76,0.004,28262
M195,302,0.019,293686
M197,95,0.005,53693
M200,71,0.005,57436
M275,224,0.011000000000000001,40371
M285,1186,0.069,250151
M286,119,0.008,37474
M302,270,0.024,51280
M304,698,0.057999999999999996,145835
M317,332,0.025,68790
M318,358,0.016,21125
0,,,
0,,,
0,,,
0,,,
0,,,
M469,109,0.008,67454
M499,329,0.027000000000000003,455665
0,,,
0,,,
M670,200,0.013000000000000001,106937
M685,105,0.006999999999999999,51322
M692,740,0.05,298369
M004,104,0.006,68597
M005,126,0.008,124968
M008,145,0.008,90176
M018,169,0.01,76791
M028,268,0.019,336340
M048,269,0.013999999999999999,174192
M052,136,0.009000000000000001,177074
M090,626,0.027000000000000003,264637
M098,298,0.017,210958
M115,228,0.016,240244
M128,243,0.013999999999999999,241111
M132,107,0.006,111648
M143,172,0.013000000000000001,270007
M152,93,0.006,106824
M153,204,0.013000000000000001,250843
M164,431,0.021,146528
M173,148,0.009000000000000001,143297
M178,349,0.017,120601
M187,172,0.012,138393
M189,100,0.006999999999999999,126851
M192,112,0.006,68071
M210,389,0.022000000000000002,74740
M218,505,0.03,380942
M223,478,0.03,193211
M278,220,0.015,102414
M293,1036,0.064,82884
M311,164,0.01,67450
M314,244,0.015,75280
M319,172,0.012,53801
M321,116,0.008,33773
M322,372,0.028999999999999998,279802
M324,261,0.018000000000000002,78184
M325,305,0.023,174111
M326,218,0.016,72921
M328,414,0.032,174425
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
M462,133,0.009000000000000001,90156
M463,219,0.016,131439
M467,214,0.015,127914
M468,230,0.015,136796
M528,347,0.022000000000000002,97786
M540,125,0.009000000000000001,203965
M552,306,0.017,125301
X001,231,0.017,151441
X005,218,0.015,138091
X018,339,0.021,182632
X025,143,0.01,88518
X029,310,0.019,202741
X030,322,0.018000000000000002,205137
X031,366,0.025,288701
X043,201,0.012,135227
X049,775,0.043,468607
X065,527,0.03,274568
X151,475,0.024,168664
X154,155,0.009000000000000001,83907
X156,142,0.006,105598
X157,143,0.008,88858
X161,434,0.02,225419
X162,205,0.013000000000000001,239822
X179,387,0.027000000000000003,117310
X184,234,0.013000000000000001,137405
X203,225,0.013999999999999999,126633
X220,348,0.019,128326
X221,153,0.011000000000000001,49215
X222,1360,0.046,280128
X223,402,0.03,188408
X224,204,0.016,101353
X277,406,0.022000000000000002,209697
X296,1469,0.08800000000000001,152744
X298,180,0.01,17243
X321,1080,0.068,158743
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
X427,513,0.031,173355
X473,204,0.015,70402
X495,237,0.017,99978
X500,101,0.009000000000000001,52765
X520,346,0.022000000000000002,145369
0,,,
X527,113,0.009000000000000001,40751
X547,227,0.016,76343
X548,235,0.015,72627
X551,428,0.027999999999999997,98116
X600,118,0.006999999999999999,152210
X655,140,0.009000000000000001,214542
X670,125,0.006999999999999999,73967
X014,249,0.015,127257
X036,198,0.013000000000000001,119952
X048,346,0.021,342255
X062,137,0.009000000000000001,91152
X069,256,0.016,122491
X071,296,0.022000000000000002,365472
X072,425,0.024,424064
X075,396,0.024,275095
X093,139,0.006999999999999999,77561
X100,100,0.006999999999999999,65691
X101,108,0.009000000000000001,63065
X107,158,0.009000000000000001,96388
X119,260,0.019,195527
X123,252,0.015,189470
X125,216,0.015,200165
X130,523,0.034,298628
X131,101,0.006999999999999999,121269
X138,124,0.009000000000000001,95235
X140,144,0.008,76050
X146,181,0.01,76431
X152,181,0.012,131364
X174,131,0.009000000000000001,187903
X182,140,0.01,114610
X192,236,0.013999999999999999,248484
X201,344,0.019,191334
X269,627,0.045,96509
X282,247,0.02,37040
